Liquefied?,Vertical effective Stress (kPa),Site amax (g),Magnitude,Fines content (%),CPT qc (MPa)
Yes,66,0.8,6.69,20,8
Yes,76,0.37,6.9,2,7.5
No,125,0.65,6.9,13,17.87
Yes,50,0.5,6.9,20,4.59
No,68,0.7,6.9,0,14.04
Yes,54,0.6,6.9,0,10
No,58,0.5,6.9,13,12.83
Yes,75,0.6,6.9,41,2.32
Yes,57,0.6,6.9,25,5.02
Yes,57,0.6,6.9,15,3.79
Yes,60,0.45,6.9,28,4.28
Yes,76,0.45,6.9,70,2
Yes,55,0.65,6.9,0,8.8
No,21,0.65,6.9,0,7.9
Yes,61,0.6,6.9,7,6.21
Yes,53,0.45,6.9,48,2.3
Yes,69,0.6,6.9,28,4.02
Yes,69,0.6,6.9,26,4.79
No,51,0.65,6.9,0,12.68
Yes,62,0.4,6.9,36,2.48
No,41,0.6,6.9,0,11
Yes,47,0.45,6.9,30,2.5
Yes,64,0.5,6.9,31,2.96
No,62,0.5,6.9,31,12.8
Yes,19,0.37,7.51,5,0.94
Yes,25,0.37,7.51,16,1.28
Yes,29,0.4,7.51,12,1.14
Yes,41,0.37,7.51,9,5.4
Yes,63,0.4,7.51,35,6.2
Yes,37,0.4,7.51,35,2.9
Yes,32,0.4,7.51,65,1.25
Yes,25,0.4,7.51,2,2
Yes,26,0.4,7.51,42,3.32
Yes,23,0.4,7.51,65,2.49
Yes,37,0.4,7.51,15,2.6
Yes,34,0.4,7.51,12,7.11
No,50,0.4,7.51,12,7.8
Yes,51,0.3,7.51,11,5.23
Yes,31,0.38,7.62,38,2
Yes,40,0.38,7.62,60,1.1
Yes,72,0.38,7.62,65,2.72
Yes,36,0.6,7.62,35,3
Yes,51,0.6,7.62,14,3.5
Yes,46,0.25,7.62,45,3
Yes,50,0.25,7.62,54,2
Yes,41,0.25,7.62,27,2.7
Yes,69,0.25,7.62,30,3.8
Yes,79,0.25,7.62,61,2
Yes,61,0.25,7.62,32,3.4
No,61,0.187,7,4,3.7
Yes,61,0.347,6.2,4,3.7
No,48,0.183,7,7,6.9
Yes,48,0.396,6.2,7,6.9
Yes,80,0.167,7,4,7.37
Yes,80,0.323,6.2,4,7.37
No,64,0.219,7,0,12.09
Yes,64,0.46,6.2,0,12.09
Yes,48,0.199,7,24,2.8
